class,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
1,1986,17692,2742,2742,4093,2591,1451,13169
1,477716,166277,2037,2037,5199,7942,2840,57912
1,8005,11877,8192,8192,5820,2762,465,13032
1,308694,255623,34610,34610,25037,17790,26368,78112
1,565203,306162,93881,93881,21320,44950,15397,55105
1,21242,23334,4803,4803,12605,657,1577,8832
1,15539,7009,1886,1886,2399,4455,677,12610
1,4219,3685,4626,4626,3405,2497,640,12842
1,1067899,92381,65144,65144,6267,10470,2132,43866
1,40615,22972,3557,3557,4818,5066,484,8852
1,14430,18916,6397,6397,3903,2116,319,11143
1,3381,10662,1260,1260,2499,1658,1364,13051
1,3341,6062,3988,3988,341,908,697,14547
1,99515,14208,8554,8554,4074,834,934,10574
1,5675,12802,10197,10197,760,4132,521,13318
1,103143,10628,1106,1106,6579,6654,364,11204
1,3363,5474,5652,5652,5083,1235,472,12293
1,4090,5596,3354,3354,6334,2609,791,12111
1,2889,7668,177,177,3983,1550,296,15415
1,7733,9448,13532,13532,2354,961,714,10930
1,4506,5991,6781,6781,2478,2376,637,11287
1,6067,3234,1732,1732,3361,1170,461,13262
1,14102,10370,22515,22515,2299,2121,724,14553
1,4137,5157,3392,3392,973,1214,366,9451
1,19212,26071,10538,10538,7941,1436,1386,9214
1,10112,18766,5969,5969,1602,2108,768,10846
1,3762,11630,4593,4593,1993,1509,521,13312
1,41167,13333,2232,2232,4121,2597,617,13647
1,3546,6246,6935,6935,2425,1829,398,11313
1,77911,6172,4065,4065,3210,3345,523,10281
1,12357,14648,3585,3585,3077,2727,883,11751
1,17487,24378,2580,2580,5238,1116,655,8030
1,10051,5935,1615,1615,4254,2179,531,7619
1,10910,5746,1812,1812,3997,2836,702,7925
1,7847,9965,4012,4012,3492,2500,315,6198
1,8029,12286,1856,1856,2050,1662,233,6390
1,13009,4541,5078,5078,2599,1861,485,3150
1,105155,5988,4988,4988,2375,3931,1510,5079
1,27855,50914,2314,2314,6931,2129,793,5657
1,5914,6415,1457,1457,3851,2143,596,5051
1,4463,4464,9233,9233,1445,3173,729,5786
1,139704,13948,3696,3696,8316,2299,768,5742
1,102686,17323,9802,9802,4963,5578,1290,5079
1,32433,21229,10531,10531,3519,3422,469,3439
1,1200072,49037,11470,11470,40146,14267,2052,25232
1,145858,24433,1878,1878,6176,2354,1789,18077
1,42978,8026,9794,9794,4619,2874,1559,14209
1,58199,19163,3806,3806,4516,2302,3040,12147
1,37769,46467,24106,24106,2535,4285,1790,12007
1,843955,11254,4251,4251,5301,2605,708,9391
